pHvalue,TEMP,EC,Crop,,,,,,,
5.5,15,4,Rice,,,,,,,
5.6,15,4,Rice,,,,,,,
5.7,15,4,Rice,,,,,,,
5.8,15,4,Rice,,,,,,,
5.9,15,4,Rice,,,,,,,
6,15,4,Rice,,,,,,,
6.1,15,4,Rice,,,,,,,
6.2,15,4,Rice,,,,,,,
6.3,15,4,Rice,,,,,,,
6.4,15,4,Rice,,,,,,,
6.5,15,4,Rice,,,,,,,
6.6,15,4,Rice,,,,,,,
6.7,15,4,Rice,,,,,,,
6.8,15,4,Rice,,,,,,,
6.9,15,4,Rice,,,,,,,
7,15,4,Rice,,,,,,,
5.5,16,5,Rice,,,,,,,
5.6,16,5,Rice,,,,,,,
5.7,16,5,Rice,,,,,,,
5.8,16,5,Rice,,,,,,,
5.9,16,5,Rice,,,,,,,
6,16,5,Rice,,,,,,,
6.1,16,5,Rice,,,,,,,
6.2,16,5,Rice,,,,,,,
6.3,16,5,Rice,,,,,,,
6.4,16,5,Rice,,,,,,,
6.5,16,5,Rice,,,,,,,
6.6,16,5,Rice,,,,,,,
6.7,16,5,Rice,,,,,,,
6.8,16,5,Rice,,,,,,,
6.9,16,5,Rice,,,,,,,
7,16,5,Rice,,,,,,,
5.5,17,6,Rice,,,,,,,
5.6,17,6,Rice,,,,,,,
5.7,17,6,Rice,,,,,,,
5.8,17,6,Rice,,,,,,,
5.9,17,6,Rice,,,,,,,
6,17,6,Rice,,,,,,,
6.1,17,6,Rice,,,,,,,
6.2,17,6,Rice,,,,,,,
6.3,17,6,Rice,,,,,,,
6.4,17,6,Rice,,,,,,,
6.5,17,6,Rice,,,,,,,
6.6,17,6,Rice,,,,,,,
6.7,17,6,Rice,,,,,,,
6.8,17,6,Rice,,,,,,,
6.9,17,6,Rice,,,,,,,
7,17,6,Rice,,,,,,,
5.5,18,6,Rice,,,,,,,
5.6,18,6,Rice,,,,,,,
5.7,18,6,Rice,,,,,,,
5.8,18,6,Rice,,,,,,,
5.9,18,6,Rice,,,,,,,
6,18,6,Rice,,,,,,,
6.1,18,6,Rice,,,,,,,
6.2,18,6,Rice,,,,,,,
6.3,18,6,Rice,,,,,,,
6.4,18,6,Rice,,,,,,,
6.5,18,6,Rice,,,,,,,
6.6,18,6,Rice,,,,,,,
6.7,18,6,Rice,,,,,,,
6.8,18,6,Rice,,,,,,,
6.9,18,6,Rice,,,,,,,
7,18,6,Rice,,,,,,,
5.5,19,7,Rice,,,,,,,
5.6,19,7,Rice,,,,,,,
5.7,19,7,Rice,,,,,,,
5.8,19,7,Rice,,,,,,,
5.9,19,7,Rice,,,,,,,
6,19,7,Rice,,,,,,,
6.1,19,7,Rice,,,,,,,
6.2,19,7,Rice,,,,,,,
6.3,19,7,Rice,,,,,,,
6.4,19,7,Rice,,,,,,,
6.5,19,7,Rice,,,,,,,
6.6,19,7,Rice,,,,,,,
6.7,19,7,Rice,,,,,,,
6.8,19,7,Rice,,,,,,,
6.9,19,7,Rice,,,,,,,
7,19,7,Rice,,,,,,,
5.5,20,7,Rice,,,,,,,
5.6,20,7,Rice,,,,,,,
5.7,20,7,Rice,,,,,,,
5.8,20,7,Rice,,,,,,,
5.9,20,7,Rice,,,,,,,
6,20,7,Rice,,,,,,,
6.1,20,7,Rice,,,,,,,
6.2,20,7,Rice,,,,,,,
6.3,20,7,Rice,,,,,,,
6.4,20,7,Rice,,,,,,,
6.5,20,7,Rice,,,,,,,
6.6,20,7,Rice,,,,,,,
6.7,20,7,Rice,,,,,,,
6.8,20,7,Rice,,,,,,,
6.9,20,7,Rice,,,,,,,
7,20,7,Rice,,,,,,,
5.5,21,7,Rice,,,,,,,
5.6,21,7,Rice,,,,,,,
5.7,21,7,Rice,,,,,,,
5.8,21,7,Rice,,,,,,,
5.9,21,7,Rice,,,,,,,
6,21,7,Rice,,,,,,,
6.1,21,7,Rice,,,,,,,
6.2,21,7,Rice,,,,,,,
6.3,21,7,Rice,,,,,,,
6.4,21,7,Rice,,,,,,,
6.5,21,7,Rice,,,,,,,
6.6,21,7,Rice,,,,,,,
6.7,21,7,Rice,,,,,,,
6.8,21,7,Rice,,,,,,,
6.9,21,7,Rice,,,,,,,
7,21,7,Rice,,,,,,,
5.5,22,7,Rice,,,,,,,
5.6,22,7,Rice,,,,,,,
5.7,22,7,Rice,,,,,,,
5.8,22,7,Rice,,,,,,,
5.9,22,7,Rice,,,,,,,
6,22,7,Rice,,,,,,,
6.1,22,7,Rice,,,,,,,
6.2,22,7,Rice,,,,,,,
6.3,22,7,Rice,,,,,,,
6.4,22,7,Rice,,,,,,,
6.5,22,7,Rice,,,,,,,
6.6,22,7,Rice,,,,,,,
6.7,22,7,Rice,,,,,,,
6.8,22,7,Rice,,,,,,,
6.9,22,7,Rice,,,,,,,
7,22,7,Rice,,,,,,,
5.5,23,7,Rice,,,,,,,
5.6,23,7,Rice,,,,,,,
5.7,23,7,Rice,,,,,,,
5.8,23,7,Rice,,,,,,,
5.9,23,7,Rice,,,,,,,
6,23,7,Rice,,,,,,,
6.1,23,7,Rice,,,,,,,
6.2,23,7,Rice,,,,,,,
6.3,23,7,Rice,,,,,,,
6.4,23,7,Rice,,,,,,,
6.5,23,7,Rice,,,,,,,
6.6,23,7,Rice,,,,,,,
6.7,23,7,Rice,,,,,,,
6.8,23,7,Rice,,,,,,,
6.9,23,7,Rice,,,,,,,
7,23,7,Rice,,,,,,,
5.5,24,8,Rice,,,,,,,
5.6,24,8,Rice,,,,,,,
5.7,24,8,Rice,,,,,,,
5.8,24,8,Rice,,,,,,,
